Ensembl Gene ID	Gene Symbol	Assigned Tier	Possible Tiers	Pharos Protein Family
ENSG00000171848.15	RRM2	T1	T1,T2	Other
ENSG00000157764.13	BRAF	T1	T1,T2,T3,T4	Kinase
ENSG00000188389.11	PDCD1	T1	T1,T3	Other
ENSG00000116478.12	HDAC1	T1	T1,T3	Epigenetic
ENSG00000122025.15	FLT3	T1	T1,T3,T4	Kinase
ENSG00000105976.15	MET	T1	T1,T3,T4	Kinase
ENSG00000068078.18	FGFR3	T1	T1,T3,T4	Kinase
ENSG00000167325.15	RRM1	T1	T1,T4	Enzyme
ENSG00000198900.6	TOP1	T1	T1,T2,T3,T4	Enzyme
ENSG00000171608.16	PIK3CD	T1	T1,T3,T4	Kinase
ENSG00000010671.16	BTK	T1	T1,T3,T4	Kinase
ENSG00000135446.17	CDK4	T1	T1,T3,T4	Kinase
ENSG00000143799.13	PARP1	T1	T1,T3,T4	Enzyme
ENSG00000105810.10	CDK6	T1	T1,T4	Kinase
ENSG00000129484.13	PARP2	T1	T1,T4	Enzyme
ENSG00000101162.4	TUBB1	T1	T1,T4	Other
ENSG00000156738.18	MS4A1	T1	T1,T2,T3	Other
ENSG00000228716.7	DHFR	T1	T1,T2,T4	Enzyme
ENSG00000091831.23	ESR1	T1	T1,T2,T4	Nuclear Receptor
ENSG00000169032.10	MAP2K1	T1	T1,T2,T3,T4	Kinase
ENSG00000126934.14	MAP2K2	T1	T1,T2,T3,T4	Kinase
ENSG00000100804.19	PSMB5	T1	T1,T3	Enzyme
ENSG00000128602.11	SMO	T1	T1,T3	GPCR
ENSG00000160867.15	FGFR4	T1	T1,T3,T4,T5	Kinase
ENSG00000120217.14	CD274	T1	T1,T3,T5	Other
ENSG00000132155.12	RAF1	T1	T1,T3,T4	Kinase
ENSG00000134460.18	IL2RA	T1	T1,T2	Other
ENSG00000186868.15	MAPT	T1	T1,T2	Other
ENSG00000096968.14	JAK2	T1	T1,T2,T3,T4	Kinase
ENSG00000196591.12	HDAC2	T1	T1,T2,T3	Epigenetic
ENSG00000198793.13	MTOR	T1	T1,T2,T3,T4	Kinase
ENSG00000171791.13	BCL2	T1	T1,T2,T3,T4	Other
ENSG00000140009.18	ESR2	T1	T1,T2,T4	Nuclear Receptor
ENSG00000004468.13	CD38	T1	T1,T3	Enzyme
ENSG00000121879.5	PIK3CA	T1	T1,T3,T4	Kinase
ENSG00000182578.13	CSF1R	T1	T1,T3,T4,T5	Kinase
ENSG00000154229.12	PRKCA	T1	T1,T3,T4	Kinase
ENSG00000140538.16	NTRK3	T1	T1,T3,T4	Kinase
ENSG00000041880.14	PARP3	T1	T1,T3,T4	Enzyme
ENSG00000047936.10	ROS1	T1	T1,T4	Kinase
ENSG00000142627.13	EPHA2	T1	T1,T4,T5	Kinase
ENSG00000120156.21	TEK	T1	T1,T4,T5	Kinase
ENSG00000012124.17	CD22	T1	T1,T5	Other
ENSG00000177606.7	JUN	T1	T1,T2	Transcription Factor
ENSG00000120659.15	TNFSF11	T1	T1,T2	Other
ENSG00000167397.15	VKORC1	T1	T1,T2	Enzyme
ENSG00000073756.12	PTGS2	T1	T1,T2,T3,T4	Enzyme
ENSG00000189221.9	MAOA	T1	T1,T2,T3,T4	Enzyme
ENSG00000232810.4	TNF	T1	T1,T2,T3	Other
ENSG00000112715.24	VEGFA	T1	T1,T2,T3	Other
ENSG00000172572.6	PDE3A	T1	T1,T2,T4	Enzyme
ENSG00000162434.13	JAK1	T1	T1,T2,T3,T4	Kinase
ENSG00000012779.11	ALOX5	T1	T1,T2,T3,T4	Enzyme
ENSG00000106348.18	IMPDH1	T1	T1,T2,T4	Enzyme
ENSG00000178035.12	IMPDH2	T1	T1,T2,T4	Enzyme
ENSG00000203747.11	FCGR3A	T1	T1,T2,T3	Other
ENSG00000105639.19	JAK3	T1	T1,T2,T3	Kinase
ENSG00000109163.7	GNRHR	T1	T1,T2,T4,T5	GPCR
ENSG00000104365.15	IKBKB	T1	T1,T2,T3	Kinase
ENSG00000136244.12	IL6	T1	T1,T2,T3	Other
ENSG00000197122.11	SRC	T1	T1,T2,T3,T4	Kinase
ENSG00000196839.13	ADA	T1	T1,T2,T4	Enzyme
ENSG00000148795.7	CYP17A1	T1	T1,T2,T4	Enzyme
ENSG00000104687.14	GSR	T1	T1,T2,T4	Enzyme
ENSG00000167552.14	TUBA1A	T1	T1,T2,T4	Other
ENSG00000127824.14	TUBA4A	T1	T1,T2,T4	Other
ENSG00000177455.15	CD19	T1	T1,T2,T5	Other
ENSG00000150337.13	FCGR1A	T1	T1,T2,T5	Other
ENSG00000163599.17	CTLA4	T1	T1,T3	Other
ENSG00000138413.13	IDH1	T1	T1,T3	Enzyme
ENSG00000213923.13	CSNK1E	T1	T1,T3	Kinase
ENSG00000171720.10	HDAC3	T1	T1,T3	Epigenetic
ENSG00000133703.13	KRAS	T1	T1,T3	Enzyme
ENSG00000204264.12	PSMB8	T1	T1,T3	Enzyme
ENSG00000106462.11	EZH2	T1	T1,T3	Epigenetic
ENSG00000094631.21	HDAC6	T1	T1,T3	Epigenetic
ENSG00000105851.11	PIK3CG	T1	T1,T3,T4	Kinase
ENSG00000182866.17	LCK	T1	T1,T3,T4	Kinase
ENSG00000185386.15	MAPK11	T1	T1,T3,T4	Kinase
ENSG00000102882.12	MAPK3	T1	T1,T3,T4	Kinase
ENSG00000105397.14	TYK2	T1	T1,T3,T4	Kinase
ENSG00000178568.15	ERBB4	T1	T1,T3,T4	Kinase
ENSG00000176105.14	YES1	T1	T1,T3,T4	Kinase
ENSG00000183813.7	CCR4	T1	T1,T3,T4,T5	GPCR
ENSG00000077782.21	FGFR1	T1	T1,T3,T4,T5	Kinase
ENSG00000066468.23	FGFR2	T1	T1,T3,T4,T5	Kinase
ENSG00000105383.15	CD33	T1	T1,T3,T5	Other
ENSG00000095015.6	MAP3K1	T1	T1,T3,T4	Kinase
ENSG00000162733.19	DDR2	T1	T1,T3,T4,T5	Kinase
ENSG00000136869.16	TLR4	T1	T1,T3,T5	Other
ENSG00000140459.18	CYP11A1	T1	T1,T4	Enzyme
ENSG00000111816.8	FRK	T1	T1,T4	Kinase
ENSG00000165704.15	HPRT1	T1	T1,T4	Enzyme
ENSG00000184428.13	TOP1MT	T1	T1,T4	Enzyme
ENSG00000077097.15	TOP2B	T1	T1,T4	Enzyme
ENSG00000258947.7	TUBB3	T1	T1,T4	Other
ENSG00000108423.15	TUBD1	T1	T1,T4	Other
ENSG00000074935.14	TUBE1	T1	T1,T4	Other
ENSG00000131462.8	TUBG1	T1	T1,T4	Other
ENSG00000198431.16	TXNRD1	T1	T1,T4	Enzyme
ENSG00000025708.14	TYMP	T1	T1,T4	Enzyme
ENSG00000167601.12	AXL	T1	T1,T4,T5	Kinase
ENSG00000007312.13	CD79B	T1	T1,T5	Other
ENSG00000048462.11	TNFRSF17	T1	T1,T5	Other
ENSG00000120949.15	TNFRSF8	T1	T1,T5	Other
ENSG00000165029.16	ABCA1	T2	T2	Transporter
ENSG00000131473.17	ACLY	T2	T2	Enzyme
ENSG00000014257.16	ACP3	T2	T2	Enzyme
ENSG00000072110.13	ACTN1	T2	T2	Other
ENSG00000248144.6	ADH1C	T2	T2	Enzyme
ENSG00000122787.15	AKR1D1	T2	T2	Enzyme
ENSG00000163631.17	ALB	T2	T2	Other
ENSG00000163286.9	ALPG	T2	T2	Enzyme
ENSG00000243480.7	AMY2A	T2	T2	Enzyme
ENSG00000131620.17	ANO1	T2	T2	Ion Channel
ENSG00000110245.12	APOC3	T2	T2	Other
ENSG00000070961.15	ATP2B1	T2	T2	Transporter
ENSG00000186009.5	ATP4B	T2	T2	Transporter
ENSG00000147416.11	ATP6V1B2	T2	T2	Enzyme
ENSG00000155097.12	ATP6V1C1	T2	T2	Enzyme
ENSG00000090013.11	BLVRB	T2	T2	Enzyme
ENSG00000204217.15	BMPR2	T2	T2	Kinase
ENSG00000109743.11	BST1	T2	T2	Enzyme
ENSG00000244731.8	C4A	T2	T2	Other
ENSG00000224389.9	C4B	T2	T2	Other
ENSG00000007402.11	CACNA2D2	T2	T2	Ion Channel
ENSG00000198668.13	CALM1	T2	T2	Other
ENSG00000121691.7	CAT	T2	T2	Enzyme
ENSG00000198821.10	CD247	T2	T2	Other
ENSG00000160654.11	CD3G	T2	T2	Other
ENSG00000169442.9	CD52	T2	T2	Other
ENSG00000139219.19	COL2A1	T2	T2	Other
ENSG00000168542.16	COL3A1	T2	T2	Other
ENSG00000021826.17	CPS1	T2	T2	Enzyme
ENSG00000015413.9	DPEP1	T2	T2	Enzyme
ENSG00000127884.5	ECHS1	T2	T2	Enzyme
ENSG00000118402.6	ELOVL4	T2	T2	Other
ENSG00000171503.12	ETFDH	T2	T2	Enzyme
ENSG00000149485.19	FADS1	T2	T2	Enzyme
ENSG00000134824.14	FADS2	T2	T2	Enzyme
ENSG00000198019.13	FCGR1B	T2	T2	Other
ENSG00000143226.14	FCGR2A	T2	T2	Other
ENSG00000244682.7	FCGR2C	T2	T2	Other
ENSG00000162747.12	FCGR3B	T2	T2	Other
ENSG00000118972.3	FGF23	T2	T2	Other
ENSG00000115414.20	FN1	T2	T2	Other
ENSG00000137731.14	FXYD2	T2	T2	Enzyme
ENSG00000214013.9	GANC	T2	T2	Enzyme
ENSG00000184502.4	GAST	T2	T2	Other
ENSG00000100983.12	GSS	T2	T2	Enzyme
ENSG00000138796.17	HADH	T2	T2	Enzyme
ENSG00000101323.5	HAO1	T2	T2	Enzyme
ENSG00000048052.21	HDAC9	T2	T2	Epigenetic
ENSG00000072571.20	HMMR	T2	T2	Other
ENSG00000158104.11	HPD	T2	T2	Enzyme
ENSG00000090339.9	ICAM1	T2	T2	Other
ENSG00000027697.15	IFNGR1	T2	T2	Other
ENSG00000159128.14	IFNGR2	T2	T2	Other
ENSG00000091181.19	IL5RA	T2	T2	Other
ENSG00000133731.10	IMPA1	T2	T2	Enzyme
ENSG00000187242.6	KRT12	T2	T2	Other
ENSG00000172867.4	KRT2	T2	T2	Other
ENSG00000134333.14	LDHA	T2	T2	Enzyme
ENSG00000111716.14	LDHB	T2	T2	Enzyme
ENSG00000182333.15	LIPF	T2	T2	Enzyme
ENSG00000003056.8	M6PR	T2	T2	Other
ENSG00000198125.13	MB	T2	T2	Other
ENSG00000164172.19	MOCS2	T2	T2	Enzyme
ENSG00000149534.9	MS4A2	T2	T2	Other
ENSG00000198888.2	MT-ND1	T2	T2	Enzyme
ENSG00000160194.18	NDUFV3	T2	T2	Enzyme
ENSG00000166741.7	NNMT	T2	T2	Enzyme
ENSG00000015520.14	NPC1L1	T2	T2	Other
ENSG00000122585.8	NPY	T2	T2	Other
ENSG00000256713.8	PGA5	T2	T2	Enzyme
ENSG00000119630.14	PGF	T2	T2	Other
ENSG00000105355.9	PLIN3	T2	T2	Other
ENSG00000108179.14	PPIF	T2	T2	Enzyme
ENSG00000221823.11	PPP3R1	T2	T2	Other
ENSG00000126432.14	PRDX5	T2	T2	Other
ENSG00000101000.6	PROCR	T2	T2	Other
ENSG00000103485.19	QPRT	T2	T2	Enzyme
ENSG00000135002.12	RFK	T2	T2	Enzyme
ENSG00000187010.21	RHD	T2	T2	Other
ENSG00000116745.7	RPE65	T2	T2	Enzyme
ENSG00000105711.12	SCN1B	T2	T2	Ion Channel
ENSG00000166257.9	SCN3B	T2	T2	Ion Channel
ENSG00000073578.17	SDHA	T2	T2	Enzyme
ENSG00000174175.17	SELP	T2	T2	Other
ENSG00000105281.12	SLC1A5	T2	T2	Transporter
ENSG00000151729.11	SLC25A4	T2	T2	Transporter
ENSG00000005022.6	SLC25A5	T2	T2	Transporter
ENSG00000169100.14	SLC25A6	T2	T2	Transporter
ENSG00000100170.10	SLC5A1	T2	T2	Transporter
ENSG00000155465.19	SLC7A7	T2	T2	Transporter
ENSG00000205571.14	SMN2	T2	T2	Epigenetic
ENSG00000132639.13	SNAP25	T2	T2	Other
ENSG00000143858.12	SYT2	T2	T2	Other
ENSG00000072274.13	TFRC	T2	T2	Other
ENSG00000166548.16	TK2	T2	T2	Kinase
ENSG00000196664.5	TLR7	T2	T2	Other
ENSG00000239732.3	TLR9	T2	T2	Other
ENSG00000196511.14	TPK1	T2	T2	Kinase
ENSG00000137364.5	TPMT	T2	T2	Enzyme
ENSG00000145777.15	TSLP	T2	T2	Other
ENSG00000118271.11	TTR	T2	T2	Other
ENSG00000139190.16	VAMP1	T2	T2	Other
ENSG00000220205.9	VAMP2	T2	T2	Other
ENSG00000173511.9	VEGFB	T2	T2	Other
ENSG00000196715.7	VKORC1L1	T2	T2	Enzyme
ENSG00000125730.17	C3	T2	T2	Other
ENSG00000167535.8	CACNB3	T2	T2	Ion Channel
ENSG00000182389.19	CACNB4	T2	T2	Ion Channel
ENSG00000164615.5	CAMLG	T2	T2	Other
ENSG00000093010.14	COMT	T2	T2	Enzyme
ENSG00000062282.15	DGAT2	T2	T2	Enzyme
ENSG00000179639.10	FCER1A	T2	T2	Other
ENSG00000072694.21	FCGR2B	T2	T2	Other
ENSG00000113578.18	FGF1	T2	T2	Other
ENSG00000167996.16	FTH1	T2	T2	Other
ENSG00000142166.13	IFNAR1	T2	T2	Other
ENSG00000113525.10	IL5	T2	T2	Other
ENSG00000082482.13	KCNK2	T2	T2	Ion Channel
ENSG00000171303.7	KCNK3	T2	T2	Ion Channel
ENSG00000169427.8	KCNK9	T2	T2	Ion Channel
ENSG00000146085.8	MMUT	T2	T2	Enzyme
ENSG00000196262.14	PPIA	T2	T2	Enzyme
ENSG00000188386.8	PPP3R2	T2	T2	Other
ENSG00000113494.17	PRLR	T2	T2	Other
ENSG00000124212.6	PTGIS	T2	T2	Enzyme
ENSG00000132329.11	RAMP1	T2	T2	Other
ENSG00000105641.4	SLC5A5	T2	T2	Transporter
ENSG00000003436.16	TFPI	T2	T2	Other
ENSG00000148154.10	UGCG	T2	T2	Enzyme
ENSG00000158125.10	XDH	T2	T2	Enzyme
ENSG00000110680.12	CALCA	T2	T2	Other
ENSG00000175868.14	CALCB	T2	T2	Other
ENSG00000108821.14	COL1A1	T2	T2	Other
ENSG00000115486.12	GGCX	T2	T2	Enzyme
ENSG00000112964.14	GHR	T2	T2	Other
ENSG00000116984.13	MTR	T2	T2	Enzyme
ENSG00000145545.12	SRD5A1	T2	T2	Enzyme
ENSG00000277893.2	SRD5A2	T2	T2	Enzyme
ENSG00000077498.9	TYR	T2	T2	Enzyme
ENSG00000198734.12	F5	T2	T2	Other
ENSG00000187486.5	KCNJ11	T2	T2	Ion Channel
ENSG00000153956.16	CACNA2D1	T2	T2	Ion Channel
ENSG00000165995.21	CACNB2	T2	T2	Ion Channel
ENSG00000110799.13	VWF	T2	T2	Other
ENSG00000185010.15	F8	T2	T2	Other
ENSG00000196639.6	HRH1	T2	T2,T3,T4	GPCR
ENSG00000149295.14	DRD2	T2	T2,T3,T4	GPCR
ENSG00000022355.18	GABRA1	T2	T2,T3,T4,T5	Ion Channel
ENSG00000102468.10	HTR2A	T2	T2,T3,T4	GPCR
ENSG00000169252.5	ADRB2	T2	T2,T3,T4	GPCR
ENSG00000043591.6	ADRB1	T2	T2,T3,T4	GPCR
ENSG00000108576.10	SLC6A4	T2	T2,T3,T4	Transporter
ENSG00000095303.17	PTGS1	T2	T2,T3,T4	Enzyme
ENSG00000150594.7	ADRA2A	T2	T2,T3,T4,T5	GPCR
ENSG00000159640.16	ACE	T2	T2,T3,T5	Enzyme
ENSG00000103546.18	SLC6A2	T2	T2,T4	Transporter
ENSG00000151067.22	CACNA1C	T2	T2,T3,T4	Ion Channel
ENSG00000151577.13	DRD3	T2	T2,T3,T4,T5	GPCR
ENSG00000142319.18	SLC6A3	T2	T2,T3,T4	Transporter
ENSG00000183873.17	SCN5A	T2	T2,T3,T4	Ion Channel
ENSG00000147246.10	HTR2C	T2	T2,T3,T4	GPCR
ENSG00000274286.2	ADRA2B	T2	T2,T3,T4	GPCR
ENSG00000184845.4	DRD1	T2	T2,T3,T4	GPCR
ENSG00000144285.21	SCN1A	T2	T2,T4	Ion Channel
ENSG00000133019.11	CHRM3	T2	T2,T4,T5	GPCR
ENSG00000151834.15	GABRA2	T2	T2,T3,T4,T5	Ion Channel
ENSG00000180210.15	F2	T2	T2,T3,T4	Enzyme
ENSG00000120907.18	ADRA1A	T2	T2,T3,T4	GPCR
ENSG00000168539.4	CHRM1	T2	T2,T4,T5	GPCR
ENSG00000011677.13	GABRA3	T2	T2,T3,T4	Ion Channel
ENSG00000186297.12	GABRA5	T2	T2,T3,T4,T5	Ion Channel
ENSG00000069696.7	DRD4	T2	T2,T3,T4	GPCR
ENSG00000185313.8	SCN10A	T2	T2,T3,T4	Ion Channel
ENSG00000180720.7	CHRM4	T2	T2,T3,T5	GPCR
ENSG00000087085.15	ACHE	T2	T2,T4	Enzyme
ENSG00000165646.14	SLC18A2	T2	T2,T3	Transporter
ENSG00000184160.8	ADRA2C	T2	T2,T3,T5	GPCR
ENSG00000133742.13	CA1	T2	T2,T4	Enzyme
ENSG00000144891.17	AGTR1	T2	T2,T3,T4,T5	GPCR
ENSG00000109158.11	GABRA4	T2	T2,T3,T4,T5	Ion Channel
ENSG00000145863.11	GABRA6	T2	T2,T3,T4,T5	Ion Channel
ENSG00000184984.10	CHRM5	T2	T2,T3,T4	GPCR
ENSG00000163399.16	ATP1A1	T2	T2,T3,T4,T5	Transporter
ENSG00000104267.10	CA2	T2	T2,T4	Enzyme
ENSG00000166736.11	HTR3A	T2	T2,T4	Ion Channel
ENSG00000070915.10	SLC12A3	T2	T2,T4	Transporter
ENSG00000069535.14	MAOB	T2	T2,T3,T4	Enzyme
ENSG00000157388.19	CACNA1D	T2	T2,T3,T4	Ion Channel
ENSG00000114200.10	BCHE	T2	T2,T4	Enzyme
ENSG00000055118.15	KCNH2	T2	T2,T4	Ion Channel
ENSG00000065989.16	PDE4A	T2	T2,T4	Enzyme
ENSG00000128271.22	ADORA2A	T2	T2,T3,T4	GPCR
ENSG00000081248.11	CACNA1S	T2	T2,T3,T4	Ion Channel
ENSG00000101981.12	F9	T2	T2,T4	Enzyme
ENSG00000171873.8	ADRA1D	T2	T2,T4,T5	GPCR
ENSG00000140675.13	SLC5A2	T2	T2,T3	Transporter
ENSG00000142192.21	APP	T2	T2,T3	Other
ENSG00000198785.7	GRIN3A	T2	T2,T3,T4,T5	Ion Channel
ENSG00000151623.15	NR3C2	T2	T2,T3,T4	Nuclear Receptor
ENSG00000138735.16	PDE5A	T2	T2,T3,T4	Enzyme
ENSG00000006283.18	CACNA1G	T2	T2,T3,T4	Ion Channel
ENSG00000113161.16	HMGCR	T2	T2,T3,T4	Enzyme
ENSG00000184588.18	PDE4B	T2	T2,T3,T4	Enzyme
ENSG00000169313.10	P2RY12	T2	T2,T4	GPCR
ENSG00000117601.13	SERPINC1	T2	T2,T4	Other
ENSG00000111424.12	VDR	T2	T2,T4	Nuclear Receptor
ENSG00000197635.10	DPP4	T2	T2,T3,T4,T5	Enzyme
ENSG00000164344.16	KLKB1	T2	T2,T3,T4	Enzyme
ENSG00000112038.18	OPRM1	T2	T2,T3,T4	GPCR
ENSG00000135914.6	HTR2B	T2	T2,T3,T4,T5	GPCR
ENSG00000105675.9	ATP4A	T2	T2,T4	Transporter
ENSG00000088926.14	F11	T2	T2,T4	Enzyme
ENSG00000145888.11	GLRA1	T2	T2,T4	Ion Channel
ENSG00000074803.20	SLC12A1	T2	T2,T4	Transporter
ENSG00000170214.5	ADRA1B	T2	T2,T4,T5	GPCR
ENSG00000160951.4	PTGER1	T2	T2,T4,T5	GPCR
ENSG00000160752.14	FDPS	T2	T2,T3	Enzyme
ENSG00000196689.12	TRPV1	T2	T2,T3	Ion Channel
ENSG00000170820.12	FSHR	T2	T2,T3,T4	GPCR
ENSG00000273079.5	GRIN2B	T2	T2,T3,T4	Ion Channel
ENSG00000176884.15	GRIN1	T2	T2,T3,T4,T5	Ion Channel
ENSG00000259207.9	ITGB3	T2	T2,T3,T4,T5	Other
ENSG00000167434.10	CA4	T2	T2,T4	Enzyme
ENSG00000168748.14	CA7	T2	T2,T4	Enzyme
ENSG00000100346.18	CACNA1I	T2	T2,T4	Ion Channel
ENSG00000001626.16	CFTR	T2	T2,T4	Ion Channel
ENSG00000155511.18	GRIA1	T2	T2,T4	Ion Channel
ENSG00000111262.6	KCNA1	T2	T2,T4	Ion Channel
ENSG00000181072.11	CHRM2	T2	T2,T4,T5	GPCR
ENSG00000125538.12	IL1B	T2	T2,T3	Other
ENSG00000151704.15	KCNJ1	T2	T2,T3	Ion Channel
ENSG00000134318.14	ROCK2	T2	T2,T3,T4	Kinase
ENSG00000067900.8	ROCK1	T2	T2,T3,T4	Kinase
ENSG00000126218.12	F10	T2	T2,T3,T4	Enzyme
ENSG00000148680.16	HTR7	T2	T2,T3,T4,T5	GPCR
ENSG00000115353.11	TACR1	T2	T2,T3,T4	GPCR
ENSG00000064989.13	CALCRL	T2	T2,T3,T4,T5	GPCR
ENSG00000173198.6	CYSLTR1	T2	T2,T3,T4,T5	GPCR
ENSG00000196557.13	CACNA1H	T2	T2,T4	Ion Channel
ENSG00000057593.14	F7	T2	T2,T4	Enzyme
ENSG00000170425.3	ADORA2B	T2	T2,T4,T5	GPCR
ENSG00000169676.6	DRD5	T2	T2,T4,T5	GPCR
ENSG00000168412.6	MTNR1A	T2	T2,T4,T5	GPCR
ENSG00000134640.2	MTNR1B	T2	T2,T4,T5	GPCR
ENSG00000106804.8	C5	T2	T2,T3	Other
ENSG00000087086.15	FTL	T2	T2,T3	Other
ENSG00000111537.5	IFNG	T2	T2,T3	Other
ENSG00000113302.5	IL12B	T2	T2,T3	Other
ENSG00000121361.5	KCNJ8	T2	T2,T3	Ion Channel
ENSG00000169174.11	PCSK9	T2	T2,T3	Enzyme
ENSG00000110944.9	IL23A	T2	T2,T3	Other
ENSG00000112115.7	IL17A	T2	T2,T3	Other
ENSG00000082556.13	OPRK1	T2	T2,T3,T4	GPCR
ENSG00000151617.17	EDNRA	T2	T2,T3,T4,T5	GPCR
ENSG00000169432.18	SCN9A	T2	T2,T3,T4	Ion Channel
ENSG00000183454.17	GRIN2A	T2	T2,T3,T4,T5	Ion Channel
ENSG00000282608.2	ADORA3	T2	T2,T3,T4	GPCR
ENSG00000017260.19	ATP2C1	T2	T2,T3,T4	Transporter
ENSG00000182326.15	C1S	T2	T2,T3,T4	Other
ENSG00000102001.13	CACNA1F	T2	T2,T3,T4	Ion Channel
ENSG00000101180.16	HRH3	T2	T2,T3,T4,T5	GPCR
ENSG00000178394.5	HTR1A	T2	T2,T3,T4,T5	GPCR
ENSG00000005844.18	ITGAL	T2	T2,T3,T4,T5	Other
ENSG00000160712.13	IL6R	T2	T2,T3,T5	Other
ENSG00000006071.15	ABCC8	T2	T2,T4	Transporter
ENSG00000188778.6	ADRB3	T2	T2,T4	GPCR
ENSG00000159403.18	C1R	T2	T2,T4	Other
ENSG00000132437.18	DDC	T2	T2,T4	Enzyme
ENSG00000131187.9	F12	T2	T2,T4	Enzyme
ENSG00000005961.19	ITGA2B	T2	T2,T4	Other
ENSG00000171385.9	KCND3	T2	T2,T4	Ion Channel
ENSG00000175445.17	LPL	T2	T2,T4	Enzyme
ENSG00000105650.22	PDE4C	T2	T2,T4	Enzyme
ENSG00000104368.18	PLAT	T2	T2,T4	Enzyme
ENSG00000136531.17	SCN2A	T2	T2,T4	Ion Channel
ENSG00000064651.14	SLC12A2	T2	T2,T4	Transporter
ENSG00000180176.15	TH	T2	T2,T4	Enzyme
ENSG00000115705.22	TPO	T2	T2,T4	Enzyme
ENSG00000105464.3	GRIN2D	T2	T2,T4,T5	Ion Channel
ENSG00000170989.10	S1PR1	T2	T2,T4,T5	GPCR
ENSG00000114013.16	CD86	T2	T2,T5	Other
ENSG00000197891.12	SLC22A12	T2	T2,T5	Transporter
ENSG00000121594.12	CD80	T2	T2,T3	Other
ENSG00000086205.18	FOLH1	T2	T2,T3	Enzyme
ENSG00000152904.11	GGPS1	T2	T2,T3	Enzyme
ENSG00000105329.10	TGFB1	T2	T2,T3	Other
ENSG00000137462.8	TLR2	T2	T2,T3	Other
ENSG00000172236.17	TPSAB1	T2	T2,T3	Enzyme
ENSG00000198851.10	CD3E	T2	T2,T3	Other
ENSG00000137252.9	HCRTR2	T2	T2,T3,T4,T5	GPCR
ENSG00000148408.13	CACNA1B	T2	T2,T3,T4	Ion Channel
ENSG00000121764.11	HCRTR1	T2	T2,T3,T4,T5	GPCR
ENSG00000112541.16	PDE10A	T2	T2,T3,T4	Enzyme
ENSG00000197561.7	ELANE	T2	T2,T3,T4	Enzyme
ENSG00000113448.19	PDE4D	T2	T2,T3,T4	Enzyme
